paper_id,epoch,input_variant,perspective,model,task,discipline,experimental,dependent_variable,main_predictor,sample_definition,model_specification,controls,operationalization_notes,type_of_statistic,test_statistic,dof_1,dof_2,sample_size,p_value,llm_cohens_d,original_cohens_d,d_difference,within_strict,within_broad,conclusion,reasoning,submission_valid,score_value,log_file
Barreca_JournPoliEco_2016_J999,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,economics,False,log monthly all-cause mortality rate (lndrate),Days with mean temperature >=90F (b10_10) interacted with post-1960 indicator,"State-month observations 1930-2004, all 48 contiguous states + DC (43,464 obs after dropping missing mortality)","PanelOLS with state-by-calendar-month fixed effects (statemo) and year-by-month fixed effects (yearmo); regressors b10_4 (days <40F, cold-tail summed), b10_9 (80-89F), b10_10 (>=90F) each interacted with post-1960 dummy; population-weighted; SEs clustered by state","State-by-calendar-month FE, year-month FE; population weights; other temperature bins (cold tail, 80-89F) and their interactions with post-1960 included","Claim concerns the decline in the temperature-mortality relationship across the 20th century. Following the paper's pre/post-1960 split (Tables 3-4), I tested the change in the slope of mortality on extreme-heat days (>=90F) by interacting that bin with a post-1960 dummy in a pooled panel regression, rather than running two separate regressions. The single t-statistic on b10_10 x post60 directly tests whether the relationship declined.",t,-2.734,41983.0,,43464,0.0063,-0.027,1.1287,-1.1017000000000001,False,False,same conclusion,"Interacting an indicator for the post-1960 period with days >=90F (the key 'hot day' bin) in a state-month FE / year-month FE panel regression of log mortality rate (population-weighted, clustered on state) yields an interaction coefficient of -0.0254 (t=-2.73, p=0.0063). The pre-1960 effect of a hot day is 0.0257 log points and the post-1960 effect is essentially zero (0.0257-0.0254=0.0003), indicating a large, statistically significant decline in the temperature-mortality relationship, consistent with the claim.",yes,I,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Bartels_JournConsRes_2015_mrZ,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,marketing/org behavior,False,"DVD purchase choice (1=buy, 0=not buy)",Opportunity-cost cue × connectedness interaction,"All 88 Study 1A participants (University of Chicago campus / MSI museum) with complete connectedness, cue, and choice data",Binary logistic regression: buy ~ cue + connectedness (ZFINAL) + cue*connectedness,none,Study 1A is the DVD-purchase study in this dataset. The interaction term in a logistic regression of purchase on cue and standardized connectedness most directly tests the moderation claim that the opportunity-cost cue's spending-reducing effect strengthens with greater connectedness.,z,-2.101,,,88,0.036,-0.46,0.4688,-0.008799999999999975,True,True,same conclusion,"Logistic regression of purchase choice on opportunity-cost cue, z-scored connectedness, and their interaction yields a significant negative interaction (b=-1.05, z=-2.10, p=.036, N=88). The opportunity cost cue reduces purchasing more strongly for participants higher in connectedness, replicating the paper's Study 1A claim.",yes,C,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Beaman_JournLabEco_2018_7ybJ,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,economics,False,"Referral is female (REF_female, 1/0)",CA gender (OP_female),Conventional applicants in the Either-Gender treatment who actually made a referral (N=222),Pearson chi-square test of independence on 2x2 table (CA gender x referral gender),none,"The claim concerns gender choice when CAs are free to refer either gender, so analysis is restricted to the Either-Gender treatment arm and to CAs who submitted a referral. A simple chi-square test directly tests whether the probability of referring a woman differs by CA gender.",chi2,9.9057,1.0,,222,0.00165,0.429,0.4344,-0.005400000000000016,True,True,same conclusion,"Among CAs in the either-gender treatment who made a referral, male CAs referred a woman 22.6% of the time (30/133), while female CAs referred a woman 42.5% of the time (37/87). A chi-square test of independence yields chi2(1)=9.91, p=0.0016, confirming male CAs are significantly less likely than female CAs to refer women.",yes,C,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Behrman_JournPoliEco_2015_G55r,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,economics,True,"End-of-year mathematics test score in 10th grade (mat_score_gr10), year 3","ALI treatment indicator (dum_treat4 = T3: incentives to students, math teachers and school administrators)",10th-grade students in experimental schools in academic year 2010/11 (year 3) with non-missing math score and baseline ENLACE controls,"OLS with cluster-robust (school clavecct) SEs; treatment dummies for T1, T2, T3 with control group as omitted category","Baseline ENLACE 2008 math and language scores, region fixed effects (dum_region2-4)",Chose the grade-10 / year-3 specification (the last and longest-exposure cohort year used in the paper's Table 6) as a single representative test of the ALI effect on test scores; used the dataset provided for Table 7 of the paper.,t,2.713,86.0,,16665,0.0067,0.585,1.1708,-0.5858000000000001,False,False,same conclusion,"Regressing 10th-grade end-of-year math test scores (year 3) on treatment dummies with baseline ENLACE scores and region fixed effects, the ALI (T3) treatment dummy has a coefficient of +26.3 points with a cluster-robust t = 2.71 (p ≈ 0.007), confirming that ALI raised math scores relative to controls.",yes,I,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Benjamin_AmEcoRev_2010_WaYe,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,economics,True,Log of revealed discount rate (interval-censored between bracketed switching points across 4 intertemporal-choice tasks),Ethnicity-salience treatment indicator (treatE),"Asian-American subjects from Experiment 1 (raceA==1); 4 intertemporal-choice observations per subject (small/large stakes × short/long horizon), 71 subjects = 284 obs","Interval regression (Tobit-style with bracketed censoring) with controls for largestakes, longterm, and their interaction; cluster-robust standard errors at the subject level","largestakes, longterm, largestakes*longterm interaction; subject-clustered SEs","Mirrors the paper's primary specification in Section III for the Asian subsample, pooling across all four intertemporal-choice types to obtain a single overall test of the ethnicity-salience effect on patience.",z,-3.711,,,284,0.0002,-0.446,0.8249,-0.37889999999999996,False,False,same conclusion,"Interval regression of log discount rate on the ethnicity-salience treatment (treatE) plus stake/horizon controls, restricted to Asian-American subjects with cluster-robust SEs by subject, yields a treatment coefficient of -1.42 (SE 0.38, z = -3.71, p ≈ 0.0002). The negative coefficient on the log discount rate indicates more patient choices when ethnic identity is made salient, matching the paper's claim.",yes,I,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Bigoni_Econometrica_2015_VBx1,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,economics,True,"Subject-level mean cooperation rate (fraction of time cooperating, averaged across supergames)",Treatment dummy: Short-Stochastic vs Short-Deterministic,Subjects in Short-Deterministic and Short-Stochastic treatments only (excluding Long and Variable-Deterministic); 86 of 96 subjects with complete control variables,OLS linear regression of mean cooperation rate on treatment dummy with individual-characteristic controls,"age, male, italian, economics, statistics, gametheory, risk, trust, logic1, logic2, wronganswer, timeCQ",Mirrors Table III of the paper but restricted to the two Short treatments so the treatment dummy directly tests Short-Det vs Short-Stoch (the claim). Used subject-level aggregation as in the paper.,t,-2.95,72.0,,86,0.0043,-0.695,6.8581,-6.1631,False,False,same conclusion,"In the short-duration subsample, regressing each subject's average cooperation rate on a Short-Stochastic dummy (Short-Deterministic = reference) plus the paper's individual-characteristic controls yields a coefficient of -10.96 percentage points (t = -2.95, df = 72, p = 0.004), indicating significantly lower cooperation under stochastic than deterministic horizon. The 11-point mean gap exactly matches the paper's reported difference.",yes,I,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Bingham Powell_CompPolitStu_2009_0PZl,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,political science,False,"Ideological distance between median voter and government (govdisto, manifesto method)",Plurality party's distance to the median voter (pldist1),"SMD elections only, manifesto dataset, 1945–2004 (N=85)","OLS regression of govdisto on pldist1 with decade fixed effects (Table 3, Model 2)","Decade dummies (1950s, 60s, 70s, 80s, 90s, 2000s)",The claim concerns the role of the plurality party's proximity to the median voter under SMD rules. Powell operationalizes this via Table 3 Model 2: in SMD systems the plurality-party-to-median distance should largely determine government-to-median distance. I reproduced that regression and report the t-statistic on the plurality-party-distance coefficient.,t,14.661,77.0,,85,1.3e-23,3.342,0.4609,2.8811,False,False,same conclusion,"Restricting to SMD elections and regressing government-median-voter ideological distance on plurality-party distance to the median voter (with decade fixed effects, manifesto data), the coefficient on plurality-party distance is 0.85 (SE=0.058, t=14.66, df=77, p<.001) with R²=.76, N=85. This reproduces Powell's Table 3 Model 2 and shows that SMD government congruence is overwhelmingly driven by how close the plurality party is to the median voter—consistent with the claim that under SMD, party competition makes the plurality winner's position relative to the median voter the decisive factor for congruence.",yes,I,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Brancati_JournConflictRes_2013_V0PA,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,political science,False,Civil war recurrence (nwar1; 1 if a new civil war occurred),Election timing (T2fpemths1: months from civil-war end to first postconflict election),"Civil wars included in the paper's first-postconflict-election analytic sample (iDOSERESPONSE_fpebase.dta), N=98",Logistic regression with country-clustered robust standard errors,"Polity IV (fpepolity1), post-cold war era, victory, UN intervention (unintrvnALL), UN electoral assistance (UNfpeaid1), previous civil-war count (eventno2)","Replicates Table 1, Model 1 of the paper. The iDOSE base file delivers the same N=98 sample the paper uses for the FPE analysis; DV is whether the country experienced a new civil war (nwar1). FPE-level dummies were unavailable in this analytic file and were not included; results are otherwise comparable to the paper's column 1.",z,-0.895,,,98,0.371,-0.184,0.3869,-0.20290000000000002,False,False,no effect or inconclusive,"In the baseline logistic regression of civil-war recurrence (nwar1) on election timing (months from war's end to first postconflict election) with the paper's covariates (Polity IV, post-cold-war era, victory, UN intervention, UN electoral aid, previous events), the timing coefficient is -0.0035 (cluster-robust SE 0.004, z=-0.895, p=0.37, N=98). The sign is consistent with the paper's claim that earlier elections raise the risk of renewed fighting, but the effect is not statistically significant in this baseline specification.",yes,I,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Brough_JournConsRes_2016_9ey,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,marketing/org behavior,False,"Femininity index — mean of the three stereotypically feminine trait ratings (feminine, gentle, sensitive; items 25, 26, 33) on a 1–5 scale",Behavior condition: green (reusable canvas bag) vs nongreen (plastic bag),"All 194 participants from the Study 2 dataset (full sample, no exclusions, consistent with paper)",Two-way between-subjects ANOVA: femininity ~ behavior * target_gender (Type II SS); reporting the main effect of behavior,"None (target gender included as design factor, not a covariate)","The femininity index was reconstructed by identifying the three trait columns whose mean and SD by condition exactly matched the paper's reported values (green M=2.64 SD=0.90; nongreen M=1.82 SD=0.86) — items 25, 26, 33 in the wide-format dataset. Conditions were inferred from which of the four condition-specific column blocks (M_NG, F_NG, M_G, F_G) contained the response.",F,43.59,1.0,190.0,194,3.94e-10,0.958,0.9624,-0.0044000000000000705,True,True,same conclusion,"In a 2 (behavior: green vs nongreen) x 2 (target gender) between-subjects ANOVA on the femininity index (mean of the feminine, gentle, sensitive trait ratings), the main effect of green vs nongreen behavior was highly significant, F(1,190)=43.59, p<.001. The green target (M=2.64) was rated as more feminine than the nongreen target (M=1.82), replicating the published result.",yes,C,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Bruner_ExpEco_2017_amYY,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,economics,True,Decision error rate in LV format (proportion of times dominated lottery chosen across 9 non-tied decisions; decision 5 excluded because the two lotteries are identical),Degree of risk aversion = average number of safe choices in PV and RV multiple price list formats,All 106 real subjects (excluded 2 placeholder observations with age=99),Pearson product-moment correlation between risk aversion and error rate,none,"Followed the paper's Fig. 4 analysis: error rate is the share of LV decisions where the stochastically dominated lottery was chosen, and risk aversion is the average number of safe choices in PV and RV. Decision 5 is excluded since both LV options are identical (50% of $10).",r,-0.4583,104.0,,106,7.82e-07,-1.031,1.0432,-0.012199999999999989,True,True,same conclusion,"Pearson correlation between subjects' degree of risk aversion (average number of safe choices across PV and RV formats) and decision error rate in the LV format is r = -0.458 (t(104) = -5.26, p < 1e-6, n=106), indicating a significant negative relationship: more risk-averse subjects make fewer stochastic-dominance violations, supporting the claim.",yes,C,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Bursztyn_AmEcoRev_2017_VB9K,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,economics,True,"Desired yearly compensation (midpoint of selected range, in $1000s)",Public vs private treatment indicator,"Single female respondents in the main experiment with non-missing desired compensation (n=60: 29 public, 31 private)",Two-sample independent t-test (equal variance) comparing public vs private treatment means,none,"Compensation ranges were coded as midpoints per paper footnote 41; endpoint categories <75 and Above 250 coded as 62.5 and 262.5; the paper-reported private-treatment mean ($131K) confirms treatment A=private, B=public.",t,-2.184,58.0,,60,0.033,-0.574,0.5826,-0.008600000000000052,True,True,same conclusion,"Among single female MBA students, mean desired compensation was $112.9K in the public treatment vs $131.0K in the private treatment, an ~$18K reduction matching the paper. A two-sample t-test gives t(58) = -2.18, p = 0.033, supporting the claim that single women reported lower desired salaries when classmates would see their answers.",yes,C,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Bursztyn_JournPoliEco_2012_jaK4,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,economics,True,pay_for_conditionality (1 = parent willing to pay to keep CCT conditionality),Treatment assignment: baseline (treatment==1) vs. text-message (treatment==4),Parents in the baseline (N=60) and text-message (N=47) treatments; other treatments excluded,Pearson chi-squared test of independence on a 2x2 contingency table (treatment x outcome),none,"The claim is the direct treatment comparison between text-message and baseline treatments on the binary willingness-to-pay-for-conditionality outcome reported in Table 6; identified treatment codes by matching reported cell sizes (60 baseline, 47 text-message).",chi2,44.2449,1.0,,107,2.9e-11,1.399,4.0272,-2.6281999999999996,False,False,same conclusion,"In the baseline treatment 49/60 (81.7%) of parents paid to keep the conditionality, versus 8/47 (17.0%) in the text-message treatment. A Pearson chi-squared test of independence gives χ²(1, N=107)=44.24, p≈3e-11, confirming that text-message monitoring sharply reduces willingness to pay for conditionality, matching the paper's claim.",yes,I,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
Caldero_n_JournConflictRes_2015_Nv99,1,full,neutral,anthropic/claude-opus-4-7,reanalysis,political science,False,"Monthly homicides of males aged 15-39 (SINAIS, proxy for DTO-related violence)",after(1-6 months)*leader (indicator for the first six months following a leader capture/killing),"Subsample of 13 municipalities where a cartel leader was captured/killed, monthly observations from Dec 2006 to Dec 2010 (Ciudad Juarez excluded), N=637","Negative binomial regression with municipality fixed effects, month fixed effects, and post-treatment dummies for leaders and lieutenants (1-6, 7-12, >12 months); cluster-robust SEs at the municipality level","Population of males aged 15-39, municipality fixed effects, month-year fixed effects, and post-treatment indicators for lieutenant captures and >12-month leader periods","Operationalized to mirror Table 2, column 1 of the paper, which is the most direct test of the short-term exacerbating effect of leader removals on DTO-related violence in treated municipalities.",z,2.146,,,637,0.0318,0.171,0.0906,0.08040000000000001,False,True,same conclusion,"Replicating Table 2 column (1): negative binomial regression on the leader-treatment subsample (13 municipalities, Dec 2006-Dec 2010, excluding Ciudad Juarez) with municipality and time fixed effects and population control, the after(1-6 months)*leader coefficient is 0.272 (cluster-robust SE 0.127, z=2.15, p=0.032), indicating a significant short-term increase in DTO-proxy homicides (males 15-39) following the capture/killing of a cartel leader.",yes,C,results/agentic_logs/multi100/rq1_claude47/2026-06-16T13-49-12-00-00_reanalysis_jgdbyHjz9Bv7NTccRzPz47.eval
